2024-02-15T02:47:55.470138Z [warning  ] No state was found, complete import.
2024-02-15T02:47:56.715633Z [info     ] 2024-02-14 23:47:56,715 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.030776500701904297, "tags": {"stream": "information_schema-attributes", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.716217Z [info     ] 2024-02-14 23:47:56,715 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "information_schema-attributes", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.716570Z [info     ] 2024-02-14 23:47:56,716 | INFO     | tap-postgres.information_schema-character_sets | Beginning full_table sync of 'information_schema-character_sets'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.716957Z [info     ] 2024-02-14 23:47:56,716 | INFO     | tap-postgres.information_schema-character_sets | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.739340Z [info     ] 2024-02-14 23:47:56,727 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.011141538619995117, "tags": {"stream": "information_schema-character_sets", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.740120Z [info     ] 2024-02-14 23:47:56,728 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 1, "tags": {"stream": "information_schema-character_sets", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.741080Z [info     ] 2024-02-14 23:47:56,729 | INFO     | tap-postgres.information_schema-check_constraint_routine_usage | Beginning full_table sync of 'information_schema-check_constraint_routine_usage'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.741766Z [info     ] 2024-02-14 23:47:56,729 | INFO     | tap-postgres.information_schema-check_constraint_routine_usage | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.753269Z [info     ] 2024-02-14 23:47:56,752 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.023020267486572266, "tags": {"stream": "information_schema-check_constraint_routine_usage", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.753779Z [info     ] 2024-02-14 23:47:56,753 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "information_schema-check_constraint_routine_usage", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
